id,area,intent,prompt,completion
43,HobbiesInterests,Hobbies,What are Charlie's hobbies?,Charlie trains calisthenics and gymnastics. He loves music and playing his guitar with friends.
46,HobbiesInterests,Interests,What are Charlie's interests?,Charlie is really interested in machine learning because of his creativity.
47,HobbiesInterests,Interests,What does Charlie like?,"Charlie likes creating things, playing guitar, training parkour."
54,HobbiesInterests,Parkour,How long has Charlie trained parkour?,Charlie has trained parkour for a year.
66,HobbiesInterests,Travel,Where does Charlie want to travel?,Charlie wants to travel around all around the world! He wants to travel a lot.
75,HobbiesInterests,RemoteWork,Would Charlie consider remote work?,Remote work is ideal for Charlie.
76,HobbiesInterests,RemoteWork,What does Charlie think about working remote?,Charlie would gladly work remotely.
29,Other,German,What languages does Charlie speak?,Charlie is fluent in English and proficient in B2 German.
30,Other,German,Does Charlie speak German?,Charlie is fluent in English and proficient in B2 German.
73,Other,WhyBerlin,Why did Charlie move to Berlin?,Charlie loves the diversity and face-paced lifestyle of big cities.
3,Personal,Author,Who is Charlie's favourite author?,Charlie's favourite author is Sebastian de Castell.
4,Personal,Author,Who is Charlie's favourite author?,Charlie's favourite novels are by Sebastian de Castell.
7,Personal,FavouriteBook,Does Charlie have a favourite book?,Charlie enjoys reading The Greatcoats by Sebastian de Castell.
8,Personal,FavouriteBook,What is Charlie's favourite book?,Charlie's favourite book series is The Greatcoats by Sebastian de Castell.
9,Personal,BookGenre,What kind of books does Charlie like to read?,Charlie would gladly read fantasy novels.
10,Personal,BookGenre,What is Charlie's favourite genre of books?,Charlie's favourite books are fantasy novels.
11,Personal,CatsDogs,Cats or dogs?,Cats and dogs.
12,Personal,CatsDogs,Does Charlie like cats or dogs?,Charlie is a friend of all animals.
13,Personal,Colour,What is Charlie's favourite colour?,Charlie's favourite colour is red.
37,Personal,FavouriteSong,What is Charlie's favourite song?,Charlie's favourite song is Carry on my Wayward Son by Kansas.
38,Personal,GuitarMusic,How long has Charlie been playing guitar?,Charlie has been playing guitar for 12 years.
50,Personal,Movie,What is Charlie's favourite movie?,Charlie loves Hot Fuzz and movies by Edgar Wright.
51,Personal,MusicArtist,Who is Charlie's favourite musical artist?,Charlie's favourite artist is Bliss. You should listen to him.
52,Personal,MusicGenre,What is Charlie's favourite music genre?,Charlie loves most kinds of rock.
53,Personal,MusicGenre,What kind of music does Charlie like?,"Charlie loves rock music, and gladly jams along to it."
60,Personal,TV,What TV shows does Charlie watch?,Charlie's favourite TV Series is Bojack Horseman.
61,Personal,TV,What is Charlie's favourite TV Series?,Charlie's favourite TV Series is Bojack Horseman.
59,Studies,School,Where did Charlie go to school?,Charlie went to school at Pent Valley Technology College
62,Studies,Studies,Where did Charlie go to University?,Charlie studied Control Systems and Mechanical Engineering at Imperial College London and the University of Exeter.
63,Studies,Studies,Where did Charlie study?,Charlie studied Control Systems and Mechanical Engineering at Imperial College London and the University of Exeter.
64,Studies,Studies,What did Charlie study at University?,Charlie studied Control Systems and Mechanical Engineering at Imperial College London and the University of Exeter.
65,Studies,Studies,What did Charlie study?,Charlie studied Control Systems and Mechanical Engineering at Imperial College London and the University of Exeter.
69,Studies,Grades,What grades did Charlie get in University?,Charlie's grades can be found on his CV.
70,Studies,Grades,What were Charlie's grades?,Charlie's grades can be found on his CV.
